Date,Adj Close,Close,High,Low,Open,Volume
2020-06-25 00:00:00,49.0,49.0,50.5,47.0,48.0,28956
2020-06-26 00:00:00,50.0,50.0,50.0,48.0,50.0,33904
2020-06-29 00:00:00,49.0,49.0,50.5,48.0,50.0,31486
2020-06-30 00:00:00,49.0,49.0,50.0,48.5,49.0,16482
2020-07-01 00:00:00,47.5,47.5,49.5,45.5,49.5,32082
2020-07-02 00:00:00,47.5,47.5,48.0,45.5,47.5,23184
2020-07-06 00:00:00,45.5,45.5,47.5,45.0,47.5,35072
2020-07-07 00:00:00,46.0,46.0,48.5,45.5,48.5,104532
2020-07-08 00:00:00,44.0,44.0,46.0,43.5,45.0,48252
2020-07-09 00:00:00,41.5,41.5,44.0,40.0,43.0,58346
2020-07-10 00:00:00,45.0,45.0,45.0,40.5,41.0,41074
2020-07-13 00:00:00,43.5,43.5,46.5,43.5,46.5,30114
2020-07-14 00:00:00,44.0,44.0,45.0,41.0,44.0,25270
2020-07-15 00:00:00,49.0,49.0,50.0,43.5,43.5,59418
