Date,Close,lag_1,label
2019-12-27,85.5,90.0,1
2019-12-30,87.25,85.5,0
2019-12-31,81.75,87.25,1
2020-01-02,80.25,81.75,1
2020-01-03,72.5,80.25,1
2020-01-06,69.25,72.5,1
2020-01-07,64.25,69.25,1
2020-01-08,65.5,64.25,0
2020-01-09,65.25,65.5,1
2020-01-10,63.5,65.25,1
2020-01-13,59.0,63.5,1
2020-01-14,64.5,59.0,0
2020-01-15,66.0,64.5,0
2020-01-16,63.5,66.0,1
2020-01-17,63.5,63.5,0
2020-01-21,69.5,63.5,0
2020-01-22,71.5,69.5,0
2020-01-23,70.5,71.5,1
2020-01-24,65.75,70.5,1
2020-01-27,59.5,65.75,1
2020-01-28,61.5,59.5,0
2020-01-29,59.5,61.5,1
2020-01-30,59.25,59.5,1
2020-01-31,54.25,59.25,1
2020-02-03,54.75,54.25,0
2020-02-04,60.5,54.75,0
2020-02-05,66.0,60.5,0
2020-02-06,66.0,66.0,0
2020-02-07,62.75,66.0,1
2020-02-10,73.25,62.75,0
2020-02-11,79.0,73.25,0
2020-02-12,79.25,79.0,0
2020-02-13,77.25,79.25,1
2020-02-14,79.25,77.25,0
2020-02-18,87.5,79.25,0
2020-02-19,102.0,87.5,0
2020-02-20,100.5,102.0,1
2020-02-21,101.25,100.5,0
2020-02-24,97.75,101.25,1
2020-02-25,97.25,97.75,1
2020-02-26,92.25,97.25,1
2020-02-27,82.75,92.25,1
2020-02-28,77.0,82.75,1
2020-03-02,84.0,77.0,0
2020-03-03,78.5,84.0,1
2020-03-04,82.25,78.5,0
2020-03-05,74.75,82.25,1
2020-03-06,68.0,74.75,1
2020-03-09,59.0,68.0,1
2020-03-10,59.0,59.0,0
2020-03-11,54.75,59.0,1
2020-03-12,43.25,54.75,1
2020-03-13,43.5,43.25,0
2020-03-16,36.25,43.5,1
2020-03-17,51.0,36.25,0
2020-03-18,42.5,51.0,1
2020-03-19,44.5,42.5,0
2020-03-20,53.25,44.5,0
2020-03-23,48.75,53.25,1
2020-03-24,51.75,48.75,0
2020-03-25,54.25,51.75,0
2020-03-26,52.5,54.25,1
2020-03-27,51.5,52.5,1
2020-03-30,51.0,51.5,1
2020-03-31,52.5,51.0,0
2020-04-01,49.75,52.5,1
2020-04-02,52.75,49.75,0
2020-04-03,52.25,52.75,1
2020-04-06,57.25,52.25,0
2020-04-07,57.5,57.25,0
2020-04-08,59.25,57.5,0
2020-04-09,58.75,59.25,1
2020-04-13,60.0,58.75,0
2020-04-14,65.0,60.0,0
2020-04-15,62.5,65.0,1
2020-04-16,59.25,62.5,1
2020-04-17,58.25,59.25,1
2020-04-20,62.75,58.25,0
2020-04-21,59.25,62.75,1
2020-04-22,59.75,59.25,0
2020-04-23,60.0,59.75,0
2020-04-24,61.5,60.0,0
2020-04-27,63.25,61.5,0
2020-04-28,63.0,63.25,1
2020-04-29,64.0,63.0,0
2020-04-30,59.5,64.0,1
2020-05-01,56.75,59.5,1
2020-05-04,61.0,56.75,0
2020-05-05,62.75,61.0,0
2020-05-06,60.75,62.75,1
2020-05-07,58.25,60.75,1
2020-05-08,67.25,58.25,0
2020-05-11,81.0,67.25,0
2020-05-12,75.75,81.0,1
2020-05-13,81.75,75.75,0
2020-05-14,80.25,81.75,1
2020-05-15,76.25,80.25,1
2020-05-18,75.25,76.25,1
2020-05-19,76.5,75.25,0
2020-05-20,80.0,76.5,0
2020-05-21,80.75,80.0,0
2020-05-22,80.75,80.75,0
2020-05-26,76.25,80.75,1
2020-05-27,82.5,76.25,0
2020-05-28,81.0,82.5,1
2020-05-29,82.75,81.0,0
2020-06-01,80.5,82.75,1
2020-06-02,76.5,80.5,1
2020-06-03,73.25,76.5,1
2020-06-04,72.5,73.25,1
2020-06-05,73.0,72.5,0
2020-06-08,75.25,73.0,0
2020-06-09,72.5,75.25,1
2020-06-10,69.5,72.5,1
2020-06-11,65.0,69.5,1
2020-06-12,73.5,65.0,0
2020-06-15,78.25,73.5,0
2020-06-16,78.25,78.25,0
2020-06-17,75.75,78.25,1
2020-06-18,78.0,75.75,0
2020-06-19,78.5,78.0,0
2020-06-22,74.5,78.5,1
2020-06-23,76.5,74.5,0
2020-06-24,72.0,76.5,1
2020-06-25,73.5,72.0,0
2020-06-26,70.25,73.5,1
2020-06-29,71.75,70.25,0
2020-06-30,73.0,71.75,0
2020-07-01,71.25,73.0,1
2020-07-02,71.25,71.25,0
2020-07-06,77.75,71.25,0
2020-07-07,85.0,77.75,0
2020-07-08,85.5,85.0,0
2020-07-09,83.75,85.5,1
2020-07-10,75.25,83.75,1
2020-07-13,71.5,75.25,1
2020-07-14,70.75,71.5,1
2020-07-15,72.25,70.75,0
2020-07-16,74.25,72.25,0
2020-07-17,74.5,74.25,0
2020-07-20,78.5,74.5,0
2020-07-21,75.25,78.5,1
2020-07-22,73.75,75.25,1
2020-07-23,73.75,73.75,0
2020-07-24,72.0,73.75,1
2020-07-27,76.0,72.0,0
2020-07-28,71.75,76.0,1
2020-07-29,69.25,71.75,1
2020-07-30,72.25,69.25,0
2020-07-31,71.25,72.25,1
2020-08-03,73.75,71.25,0
2020-08-04,73.0,73.75,1
2020-08-05,73.75,73.0,0
2020-08-06,71.5,73.75,1
2020-08-07,71.5,71.5,0
2020-08-10,74.75,71.5,0
2020-08-11,72.75,74.75,1
2020-08-12,72.75,72.75,0
2020-08-13,70.75,72.75,1
2020-08-14,68.75,70.75,1
2020-08-17,72.0,68.75,0
2020-08-18,68.25,72.0,1
2020-08-19,67.0,68.25,1
2020-08-20,64.25,67.0,1
2020-08-21,61.75,64.25,1
2020-08-24,59.75,61.75,1
2020-08-25,60.0,59.75,0
2020-08-26,58.25,60.0,1
2020-08-27,56.75,58.25,1
2020-08-28,56.0,56.75,1
2020-08-31,58.75,56.0,0
2020-09-01,58.75,58.75,0
2020-09-02,54.0,58.75,1
2020-09-03,51.25,54.0,1
2020-09-04,49.5,51.25,1
2020-09-08,52.0,49.5,0
2020-09-09,50.75,52.0,1
2020-09-10,51.0,50.75,0
2020-09-11,48.0,51.0,1
2020-09-14,49.75,48.0,0
2020-09-15,50.25,49.75,0
2020-09-16,47.25,50.25,1
2020-09-17,49.0,47.25,0
2020-09-18,52.0,49.0,0
2020-09-21,49.0,52.0,1
2020-09-22,48.0,49.0,1
2020-09-23,45.75,48.0,1
2020-09-24,48.75,45.75,0
2020-09-25,46.5,48.75,1
